股票代码,截止日期,股票名称,行业,上市时间,市盈率-动态,市净率,总市值,流通市值
601100,2015-04-20,恒立液压,工程机械,20111028,57.12,9.32,158940920392.0,158940920392.0
601169,2015-04-20,北京银行,银行,20070919,4.07,0.41,114383544912.0,114383544912.0
601985,2015-06-10,中国核电,电力行业,20150610,16.42,1.52,175239377670.0,160885587067.0
600547,2015-04-20,山东黄金,贵金属,20030828,39.68,6.88,209290800435.0,164095727954.0
600893,2015-04-20,航发动力,航天航空,19960408,1058.65,3.83,152392022586.0,152365182415.0
603799,2015-04-20,华友钴业,能源金属,20150129,24.46,2.88,137512743533.0,136595721483.0
002074,2015-04-20,国轩高科,电池,20061018,19.82,2.35,66958940506.0,64082860524.0
000807,2015-04-20,云铝股份,有色金属,19980408,17.86,3.24,104732313631.0,104731215740.0
300347,2015-04-20,泰格医药,医疗服务,20120817,38.53,2.48,52419265924.0,34471120861.0
600000,2015-04-20,浦发银行,银行,19991110,6.59,0.4,329394740787.0,329394740787.0
601888,2015-06-04,中国中免,旅游酒店,20091015,48.12,3.55,195796819924.0,184782285484.0
601766,2015-04-20,中国中车,交运设备,20080818,13.63,1.07,181089832395.0,153508405683.0
000166,2015-04-20,申万宏源,证券,20150126,11.76,1.14,125700521691.0,113128246726.0
601899,2015-04-20,紫金矿业,有色金属,20080425,19.9,5.99,1004560118029.0,778301742829.0
600372,2015-04-20,中航机载,航天航空,20010706,58.89,2.03,77712679878.0,77712679878.0
000963,2015-04-20,华东医药,化学制药,20000127,17.23,2.62,63144757728.0,63121513428.0
002466,2015-04-20,天齐锂业,能源金属,20100831,364.49,2.06,87427992929.0,75620967302.0
300433,2015-04-20,蓝思科技,消费电子,20150318,47.75,3.36,181008024432.0,170393347581.0
601021,2015-04-20,春秋航空,航空机场,20150121,17.84,3.06,55549771758.0,55549771758.0
600887,2015-04-20,伊利股份,食品饮料,19960312,12.05,3.14,167495550462.0,166663259012.0
000625,2015-04-23,长安汽车,汽车整车,19970610,26.87,1.43,109438682196.0,91269969817.0
600176,2015-04-20,中国巨石,玻璃玻纤,19990422,30.08,3.26,103000708011.0,103000708011.0
601111,2015-04-20,中国国航,航空机场,20060818,59.77,3.21,149009515340.0,99389454908.0
601633,2015-04-20,长城汽车,汽车整车,20110928,17.85,2.01,176891219201.0,128345059838.0
600039,2015-04-20,四川路桥,工程建设,20030325,11.75,1.67,83042890660.0,83042890660.0
600160,2015-04-20,巨化股份,化学制品,19980626,24.19,5.25,104777145404.0,104777145404.0
600104,2015-04-20,上汽集团,汽车整车,19971125,15.24,0.56,164612373857.0,164612373857.0
002648,2015-04-20,卫星化学,化学原料,20111228,14.96,2.34,74918680146.0,74870570466.0
300014,2015-04-20,亿纬锂能,电池,20091030,35.24,3.34,132287422647.0,127547928359.0
603806,2015-04-20,福斯特,光伏设备,20140905,51.33,2.96,47061655006.0,47061655006.0
603993,2015-04-20,洛阳钼业,小金属,20121009,24.7,6.05,470246937668.0,383789311028.0
601699,2015-04-20,潞安环能,煤炭行业,20060922,19.99,0.89,41431017420.0,41431017420.0
600489,2015-04-20,中金黄金,贵金属,20030814,29.16,4.9,143044193764.0,143044193764.0
300015,2015-04-20,爱尔眼科,医疗服务,20091030,23.2,4.44,96331347601.0,82178847345.0
000568,2015-04-20,泸州老窖,酿酒行业,19940509,11.92,3.44,171113253199.0,170802147274.0
601377,2015-04-20,兴业证券,证券,20101013,17.6,1.05,59156512964.0,59156512964.0
002475,2015-04-20,立讯精密,消费电子,20100915,24.1,4.71,370128014784.0,369279055090.0
002736,2015-04-29,国信证券,证券,20141229,10.41,1.32,126792779083.0,119001875687.0
601058,2015-04-20,赛轮轮胎,橡胶制品,20110630,13.24,2.41,50702505994.0,50702505994.0
002460,2015-04-20,赣锋锂业,能源金属,20100810,4086.58,3.34,139052772873.0,80338705882.0
600030,2015-04-20,中信证券,证券,20030106,13.62,1.28,409343503417.0,336316337902.0
000977,2015-04-20,浪潮信息,计算机设备,20000608,48.55,4.55,95935579871.0,95828121755.0
002714,2015-04-28,牧原股份,农牧饲渔,20140128,13.2,3.43,260160375624.0,172728798195.0
000895,2015-04-20,双汇发展,食品饮料,19981210,17.34,4.52,91501702635.0,91489843330.0
000661,2015-04-20,长春高新,生物制品,19961218,22.95,1.55,35645581284.0,34918320952.0
002709,2015-04-20,天赐材料,化学制品,20140123,156.85,5.36,87965811138.0,65067373708.0
300442,2015-04-24,润泽科技,互联网服务,20150424,19.94,9.23,125027283335.0,124570611842.0
002001,2015-04-20,新 和 成,化学制药,20040625,12.75,2.81,90450800042.0,89374846541.0
000800,2015-04-20,一汽解放,汽车整车,19970618,68.34,1.28,33907625918.0,33904730106.0
300124,2015-04-20,汇川技术,电子元件,20100928,35.85,5.91,203367013333.0,180180335612.0
601901,2015-04-20,方正证券,证券,20110810,12.42,1.25,62893254658.0,62893254658.0
601669,2015-04-24,中国电建,工程建设,20111018,9.4,0.65,93710306777.0,71109100624.0
601799,2015-04-20,星宇股份,汽车零部件,20110201,28.45,3.91,43280431979.0,43280431979.0
600999,2015-04-20,招商证券,证券,20091117,11.89,1.06,146188615609.0,124763908622.0
601012,2015-04-20,隆基绿能,光伏设备,20120411,-30.28,2.41,137390304653.0,137390167844.0
600809,2015-04-20,山西汾酒,酿酒行业,19940106,13.31,5.22,202318866576.0,202318866576.0
300394,2015-04-20,天孚通信,通信设备,20150217,123.98,49.66,242227243318.0,241740086430.0
600958,2015-04-20,东方证券,证券,20150323,12.69,1.1,86495849073.0,76039335556.0
600009,2015-04-20,上海机场,航空机场,19980218,35.12,1.82,76515625980.0,62923095086.0
600027,2015-04-20,华电国际,电力行业,20050203,6.56,1.16,56317104792.0,41275088535.0
601818,2015-04-20,光大银行,银行,20100818,3.94,0.4,194391462991.0,152678423196.0
300059,2015-04-20,东方财富,互联网服务,20100319,29.15,3.98,353536322790.0,299229754999.0
002241,2015-04-24,歌尔股份,消费电子,20080522,26.89,2.55,92754071421.0,82102298813.0
300408,2015-04-20,三环集团,电子元件,20141203,41.66,5.18,108799555752.0,106149001125.0
603019,2015-04-27,中科曙光,计算机设备,20141106,104.16,6.4,134167717393.0,134130219429.0
002594,2015-04-20,比亚迪,汽车整车,20110630,26.45,3.74,823009424193.0,314793319362.0
601689,2015-04-20,拓普集团,汽车零部件,20150319,47.73,5.38,125141540116.0,125141540116.0
601238,2015-04-20,广汽集团,汽车整车,20120329,-13.87,0.72,79741055338.0,57740515193.0
000983,2015-04-20,山西焦煤,煤炭行业,20000726,20.73,1.08,39626165392.0,39625922313.0
300274,2015-04-20,阳光电源,光伏设备,20111102,19.52,7.19,309240216004.0,237121061413.0
600010,2015-04-20,包钢股份,钢铁行业,20010309,382.63,2.28,118656182692.0,82217691512.0
600089,2015-04-20,特变电工,电网设备,19970618,19.87,2.11,145267786416.0,145267786416.0
600362,2015-04-20,江西铜业,有色金属,20020111,23.73,2.36,190553999157.0,114200864697.0
600115,2015-04-24,中国东航,航空机场,19971105,46.71,7.99,130980278453.0,100958041815.0
601009,2015-04-20,南京银行,银行,20070719,6.41,0.68,139831945541.0,139831945541.0
002142,2015-04-20,宁波银行,银行,20070719,7.02,0.83,206032032710.0,205916485819.0
600048,2015-04-20,保利发展,房地产开发,20060731,78.67,0.42,80680788637.0,80680788637.0
600426,2015-04-20,华鲁恒升,化学原料,20020620,23.9,2.31,75649140767.0,75516236948.0
600415,2015-04-20,小商品城,商业百货,20020509,17.95,3.73,82746908720.0,82746908720.0
600570,2015-04-20,恒生电子,软件开发,20031216,94.88,6.37,57581579573.0,57581579573.0
600436,2015-04-20,片仔癀,中药,20030616,35.6,6.98,101079765363.0,101079765363.0
600588,2015-04-20,用友网络,软件开发,20010518,-26.76,6.73,49888162171.0,49888162171.0
002236,2015-04-20,大华股份,计算机设备,20080520,16.13,1.65,62185415460.0,40034001986.0
000768,2015-04-20,中航西飞,航天航空,19970626,63.86,3.87,84491308777.0,84235718343.0
601166,2015-04-20,兴业银行,银行,20070205,5.05,0.44,391301207348.0,391301207348.0
600845,2015-04-20,宝信软件,互联网服务,19940311,46.89,6.24,68640321156.0,51025234798.0
002422,2015-04-20,科伦药业,化学制药,20100603,31.5,2.13,50434564420.0,41213714978.0
000725,2015-04-20,京东方Ａ,光学光电子,20010112,25.24,1.16,154845291308.0,151908154233.0
300122,2015-04-20,智飞生物,生物制品,20100928,-25.15,1.38,40455046724.0,23901775591.0
600741,2015-04-23,华域汽车,汽车零部件,19960826,9.61,0.93,60059391895.0,60059391895.0
600018,2015-04-20,上港集团,航运港口,20061026,8.7,0.83,116632602125.0,116466058934.0
002007,2015-04-20,华兰生物,生物制品,20040625,26.75,2.46,27978361556.0,24093391077.0
603369,2015-04-20,今世缘,酿酒行业,20140703,11.88,2.45,40383853198.0,40383853198.0
601117,2015-04-20,中国化学,工程建设,20100107,8.99,0.78,50746395806.0,50591839778.0
600029,2015-04-20,南方航空,航空机场,20030725,44.77,3.72,137719011160.0,102424631619.0
601998,2015-04-20,中信银行,银行,20070427,5.78,0.49,408435491018.0,299200414767.0
600196,2015-04-20,复星医药,化学制药,19980807,21.09,1.48,70953307165.0,56288248080.0
000338,2015-04-20,潍柴动力,汽车零部件,20070430,19.72,2.48,233436842920.0,134140636220.0
000157,2015-04-20,中联重科,工程机械,20001012,15.88,1.47,83025938266.0,67876006685.0
600066,2015-04-20,宇通客车,汽车整车,19970508,16.1,5.27,70668939998.0,70668939998.0
600031,2015-04-20,三一重工,工程机械,20030703,22.34,2.9,212588502583.0,195927897655.0
600276,2015-04-20,恒瑞医药,化学制药,20001018,50.4,6.5,386484148663.0,371449302415.0
300033,2015-04-20,同花顺,软件开发,20091225,112.79,24.18,181402368000.0,105666391099.0
600188,2015-04-20,兖矿能源,煤炭行业,19980701,18.34,3.34,174150287438.0,102779857307.0
601607,2015-04-20,上海医药,医药商业,19940324,9.27,0.84,63635488642.0,47862800786.0
002271,2015-04-20,东方雨虹,装修建材,20080910,37.68,1.95,40679558718.0,32612137040.0
002304,2015-04-20,洋河股份,酿酒行业,20091106,15.37,1.68,81453485151.0,81451562963.0
601288,2015-04-20,农业银行,银行,20100715,7.74,0.84,2278389550513.0,2078279812158.0
601808,2015-04-20,中海油服,采掘行业,20070928,17.62,1.64,75391153600.0,46775394400.0
002311,2015-04-20,海大集团,农牧饲渔,20091127,16.05,3.51,88644598402.0,88579135024.0
002463,2015-04-20,沪电股份,电子元件,20100818,34.82,8.81,133108225854.0,133000801317.0
600674,2015-04-20,川投能源,电力行业,19930924,12.0,1.52,67513304568.0,67513304568.0
600660,2015-04-20,福耀玻璃,玻璃玻纤,19930610,16.45,4.37,154966570930.0,118937328394.0
600600,2015-04-20,青岛啤酒,酿酒行业,19930827,11.94,2.68,83952567746.0,43639610532.0
601601,2015-04-20,中国太保,保险,20071225,6.77,1.45,412616445005.0,293583828005.0
601668,2015-04-20,中国建筑,工程建设,20090729,4.06,0.43,206601952220.0,206601952220.0
002493,2015-04-20,荣盛石化,化纤行业,20101102,123.03,3.34,145745962486.0,136594476173.0
600519,2015-04-20,贵州茅台,酿酒行业,20010827,21.59,8.19,1859996950340.0,1859996950340.0
601688,2015-04-20,华泰证券,证券,20100226,11.79,1.17,200215838773.0,162063894791.0
000001,2015-04-20,平安银行,银行,19910403,4.14,0.47,211718567540.0,211715103124.0
000999,2015-04-20,华润三九,中药,20000309,13.97,2.16,47812979060.0,47769198706.0
601788,2015-04-20,光大证券,证券,20090818,20.65,1.07,77000153571.0,65241870611.0
600377,2015-04-20,宁沪高速,铁路公路,20010116,11.82,1.5,60452970000.0,45626196012.0
601628,2015-04-20,中国人寿,保险,20070109,5.99,2.14,1339464369950.0,986827086700.0
600585,2015-04-20,海螺水泥,水泥建材,20020207,15.55,0.69,130680801598.0,98632665598.0
601939,2015-04-20,建设银行,银行,20070925,6.63,0.67,2275923318693.0,83464821172.0
600016,2015-04-20,民生银行,银行,20001219,4.52,0.31,172064904713.0,139366144227.0
002028,2015-04-20,思源电气,电网设备,20040805,52.51,10.71,166082488836.0,129591391556.0
600111,2015-04-20,北方稀土,小金属,19970924,96.29,8.28,197888704191.0,197888704191.0
600028,2015-04-20,中国石化,石油行业,20010808,19.27,0.93,770295525594.0,603573268139.0
601988,2015-04-20,中国银行,银行,20060705,7.22,0.65,1710947906732.0,1119164883832.0
600036,2015-04-20,招商银行,银行,20020409,6.5,0.77,976260223215.0,798546438847.0
600183,2015-04-20,生益科技,电子元件,19981028,47.91,10.05,156070910528.0,153846724202.0
600011,2015-04-20,华能国际,电力行业,20011206,5.53,1.64,109415710712.0,76654038135.0
601225,2015-04-20,陕西煤业,煤炭行业,20140128,13.02,2.34,220755150000.0,220755150000.0
601857,2015-04-20,中国石油,石油行业,20071105,11.46,1.24,1929041106202.0,1706658700202.0
600023,2015-04-20,浙能电力,电力行业,20131219,8.01,0.89,66507314435.0,66507314435.0
600015,2015-04-20,华夏银行,银行,20030912,3.94,0.27,107107468590.0,103556017406.0
600085,2015-04-20,同仁堂,中药,19970625,26.73,3.07,41966990017.0,41966990017.0
000776,2015-04-20,广发证券,证券,19970611,11.34,1.3,165338985647.0,124752561941.0
601898,2015-04-20,中煤能源,煤炭行业,20080201,11.49,1.21,191189926228.0,131971845768.0
603288,2015-04-20,海天味业,食品饮料,20140211,29.39,5.52,208559041004.0,198179803388.0
601336,2015-04-20,新华保险,保险,20111216,5.53,2.46,242388770820.0,162038636718.0
601800,2015-04-20,中国交建,工程建设,20120309,7.17,0.44,130522646685.0,94463066545.0
000596,2015-04-20,古井贡酒,酿酒行业,19960927,12.93,2.68,68247546000.0,52754346000.0
601006,2015-04-20,大秦铁路,物流行业,20060801,12.24,0.61,101541775689.0,101541775689.0
601328,2015-04-20,XD交通银,银行,20070515,6.3,0.52,587619165083.0,173381723134.0
601398,2015-04-20,工商银行,银行,20061027,7.04,0.67,2534048487903.0,1916942831152.0
601318,2015-04-20,中国平安,保险,20070301,6.67,1.2,1182247945854.0,695995649269.0
002179,2015-04-20,中航光电,电子元件,20071101,34.2,2.99,72635514305.0,71926673825.0
601186,2015-04-20,中国铁建,工程建设,20080310,4.93,0.36,97365312555.0,82478270235.0
